actor,observer,phase,category,position,newpart,tasks,end
robot,match,auto,Starting,,FALSE,pickSide|startItem,
robot,match,auto,Movement,,FALSE,crossHabLine|crossCenterLine|collision,
robot,match,auto,Hatch,,TRUE,getHatch|rocketHatch|frontBay|closeHatch|centerHatch|farHatch|dropHatchs,
robot,match,auto,Cargo,,TRUE,getCargo|rocketCargo|closeCargo|centerCargo|farCargo|dropCargos,
robot,match,auto,Pick-up,,TRUE,pickupLoadingHatch|groundHatchPickup|pickupLoadingCargo|groundCargoPickup,
robot,match,teleop,Placement,,FALSE,csHatch|csCargo|dropHatch|dropCargo,
robot,match,teleop,Placement,,TRUE,rocketHatch1|rocketHatch2|rocketHatch3|rocketCargo1|rocketCargo2|rocketCargo3,
robot,match,teleop,Pick-Up,,TRUE,pickupLoadingHatch|groundHatchPickup|pickupLoadingCargo|groundCargoPickup,
robot,match,finish,Climb,,FALSE,climb|supportClimb,
robot,match,finish,Difficulties,,TRUE,disabled|temp|fellOver|stuckOnPlat,
robot,match,waiting,Waiting for Server,,FALSE,,
