actor,task,claim,auto,teleop,finish,successname,missname,enums,end,match scores json
robot,hasLifter,boolean,na,na,na,Can Climb,,,,
robot,pickupLoadingHatch,boolean,count,count,na,L Hatch,,,,
robot,pickupLoadingCargo,boolean,count,count,na,L Cargo,,,,
robot,groundCargoPickup,boolean,count,count,na,G Cargo,,,,
robot,groundHatchPickup,boolean,count,count,na,G Hatch,,,,
robot,crossHabLine,na,boolean,na,na,Cross Hab,,,,
robot,crossCenterLine,na,boolean,boolean,na,Cross Center,,,,
robot,climbLevelOne,na,na,na,boolean,Lvl 1,,,,
robot,climbLevelTwo,na,na,na,boolean,Lvl 2,,,,
robot,climbLevelThree,na,na,na,boolean,Lvl 3,,,,
robot,climb,na,na,na,enum,Level,,1|2|3,,
robot,dropHatch,na,na,count,na,Drop Hatch,,,,
robot,dropCargo,na,na,count,na,Drop Cargo,,,,
robot,disabled,na,na,na,boolean,Disabled,,,,
robot,defendRobot,na,na,count,na,Robot Defends,,,,
robot,fellOver,na,na,na,boolean,Fell Over,,,,
robot,stuckOnPlat,na,na,na,boolean,Stuck on Platform,,,,
robot,supportClimb,na,na,na,boolean,Supported Robot,,,,
robot,collision,na,boolean,na,na,Collision,,,,
robot,pickSide,na,enum,na,na,Start Side,,LV.2|Side|Center,,
robot,startItem,na,enum,na,na,Starting Item,,Cargo|Hatch,,
robot,closeHatch,na,boolean,na,na,Close,,,,
robot,centerHatch,na,boolean,na,na,Center,,,,
robot,farHatch,na,boolean,na,na,Far,,,,
robot,dropHatchs,na,boolean,na,na,Dropped,,,,
robot,rocketHatch,boolean,count,na,na,Rocket,,,,
robot,frontBay,na,boolean,na,na,Front,,,,
robot,closeCargo,na,boolean,na,na,Close,,,,
robot,centerCargo,na,boolean,na,na,Center,,,,
robot,dropCargos,na,boolean,na,na,Dropped,,,,
robot,farCargo,na,boolean,na,na,Far,,,,
robot,rocketCargo,na,count,na,na,Rocket,,,,
robot,temp,na,na,na,boolean,Temp.,,,,
robot,getHatch,na,count,na,na,Hatch,,,,
robot,getCargo,na,count,na,na,Cargo,,,,
robot,rocketHatch1,na,na,count,na,R Hatch Lv.1,,,,
robot,rocketHatch2,na,na,count,na,R Hatch Lv.2,,,,
robot,rocketHatch3,na,na,count,na,R Hatch Lv.3,,,,
robot,rocketCargo1,na,na,count,na,R Cargo Lv.1,,,,
robot,rocketCargo2,na,na,count,na,R Cargo Lv.2,,,,
robot,rocketCargo3,na,na,count,na,R Cargo Lv.3,,,,
robot,csHatch,na,count,count,na,CS Hatch,,,,
robot,csCargo,na,count,count,na,CS Cargo,,,,
robot,duration,na,na,rating,na,Quality,,,,
alliance,fillRocket,na,na,boolean,na,,,,,
alliance,RPClimb,na,na,na,boolean,,,,,
team,getFoul,na,na,count,na,Fouls,,,,
team,yellowCard,na,na,na,count,Yellow Card,,,,
team,redCard,na,na,na,boolean,Red Card,,,,
