actor,observer,phase,category,position,newpart,tasks,end
robot,match,auto,Movement,,FALSE,startPosition|autoLine|crossNull,
robot,match,auto,Possesion,,FALSE,holdCube|pickupCube,
robot,match,auto,Placement,,TRUE,placeSwitch|placeScale|placeIncorrect,
robot,match,teleop,Pickup,,FALSE,pickupPlatform|pickupCubeZone|pickupPortal|pickupFloor,
robot,match,teleop,Placement,,TRUE,placeSwitch|placeOpponent|placeScale|placeExchange,
robot,match,finish,Climb,,FALSE,makeClimb|climberLocation|supportClimb|parkPlatform,
robot,match,finish,Difficulties,,TRUE,disabled|getFoul|fallOver,
robot,match,waiting,Waiting for Server,,FALSE,,
robot,pit,claim,Mechanics,,FALSE,driveConfig|driveMotors|placeMethod,
robot,pit,claim,Climb,,FALSE,hasClimber|climberLocation|supportClimb,
