actor,observer,phase,category,position,newpart,tasks,end
robot,match,auto,Starting,,FALSE,startPosition|autoLine,
robot,match,auto,Possesion,,FALSE,holdCube|pickupCube,
robot,match,auto,Placement,,TRUE,placeSwitch|placeScale|placeCorrect|placeSpeed,
robot,match,teleop,Pickup,,FALSE,pickupPlatform|pickupCubeZone|pickupPortal|pickupExchange|pickupFloor,
robot,match,teleop,Placement,,TRUE,placeSwitch|placeOpponent|placeScale|placeExchange|stackCube,
robot,match,finish,Climb,,FALSE,makeClimb|climberLocation,
robot,match,finish,Platform,,FALSE,parkPlatform,
robot,match,finish,Stability,,TRUE,defendRobot|disabled,
robot,match,waiting,Waiting for Server,,FALSE,,
